customer_id,order_date,order_value
CUST-0000005,2025-11-05,1719.01
CUST-0000005,2025-12-24,1615.82
CUST-0000005,2026-01-20,1426.1
CUST-0000005,2026-02-07,1161.9
CUST-0000042,2025-06-19,893.38
CUST-0000042,2025-07-14,1112.72
CUST-0000042,2025-09-26,1165.45
CUST-0000062,2026-02-14,150.0
CUST-0000081,2025-04-26,1972.24
CUST-0000081,2025-04-27,748.41
CUST-0000081,2025-07-04,1264.15
CUST-0000081,2025-07-28,736.71
CUST-0000081,2025-09-08,893.55
CUST-0000081,2025-10-21,2198.27
CUST-0000090,2025-08-20,1245.21
CUST-0000090,2025-10-29,711.62
CUST-0000104,2025-04-23,1641.76
CUST-0000104,2025-05-11,2387.62
CUST-0000104,2025-05-18,1841.3
CUST-0000125,2025-06-21,1848.77
CUST-0000125,2025-07-28,1815.76
CUST-0000126,2025-10-29,1878.91
CUST-0000126,2025-11-23,2610.42
CUST-0000126,2025-12-02,2856.17
CUST-0000126,2025-12-20,457.32
CUST-0000126,2025-12-25,669.65
CUST-0000141,2025-10-08,1346.26
CUST-0000179,2025-09-18,1486.28
CUST-0000179,2025-09-22,1428.3
CUST-0000179,2025-10-21,2277.84
CUST-0000179,2025-11-29,1241.06
CUST-0000179,2026-01-21,2363.15
CUST-0000194,2025-06-14,366.71
CUST-0000194,2025-07-10,150.0
CUST-0000194,2025-07-28,2093.35
CUST-0000194,2025-09-26,1462.82
CUST-0000194,2025-11-11,2246.24
CUST-0000243,2025-07-15,1838.92
CUST-0000243,2025-09-26,297.66
CUST-0000243,2025-10-04,657.75
CUST-0000249,2025-04-26,628.13
CUST-0000249,2025-07-09,1729.0
CUST-0000249,2025-07-14,1351.19
CUST-0000249,2025-09-21,1211.94
CUST-0000251,2025-12-05,2483.12
CUST-0000251,2026-01-11,1720.03
CUST-0000252,2025-10-19,1389.98
CUST-0000252,2025-10-26,2694.46
CUST-0000252,2025-11-06,1511.59
CUST-0000286,2025-10-11,1326.92
CUST-0000286,2025-11-29,2161.84
CUST-0000290,2025-10-13,367.39
CUST-0000290,2025-12-22,449.71
CUST-0000290,2026-02-08,1111.28
CUST-0000364,2025-02-23,2512.17
CUST-0000364,2025-03-25,1722.41
CUST-0000364,2025-05-30,1720.87
CUST-0000375,2025-06-07,1082.75
CUST-0000375,2025-07-09,618.16
CUST-0000402,2026-01-14,1761.0
CUST-0000415,2025-09-07,1547.53
CUST-0000415,2025-10-23,1514.11
CUST-0000415,2025-10-31,1425.28
CUST-0000436,2025-10-14,845.52
CUST-0000436,2025-11-06,1216.76
CUST-0000436,2025-11-29,558.21
CUST-0000436,2026-01-22,809.15
CUST-0000462,2025-09-12,1486.05
CUST-0000462,2025-11-12,1690.42
CUST-0000464,2025-05-17,1733.44
CUST-0000464,2025-07-04,2444.21
CUST-0000464,2025-07-14,902.94
CUST-0000464,2025-08-11,808.5
CUST-0000470,2025-09-21,1937.05
CUST-0000470,2025-10-26,1443.98
CUST-0000470,2025-11-14,1854.01
CUST-0000470,2025-11-17,622.27
CUST-0000483,2025-04-30,1234.85
CUST-0000483,2025-06-19,341.77
CUST-0000483,2025-07-25,1485.8
CUST-0000483,2025-09-07,939.7
CUST-0000497,2025-10-09,2335.01
CUST-0000497,2025-11-07,1344.31
CUST-0000497,2025-11-19,1352.66
CUST-0000497,2025-12-07,1329.29
CUST-0000497,2026-01-11,740.53
CUST-0000503,2025-02-22,150.0
CUST-0000503,2025-05-05,1854.02
CUST-0000503,2025-06-18,1049.61
CUST-0000503,2025-08-17,2157.42
CUST-0000534,2025-03-20,2273.13
CUST-0000558,2025-10-23,267.3
CUST-0000558,2026-01-02,1456.72
CUST-0000558,2026-01-28,753.74
CUST-0000567,2025-09-02,1096.12
CUST-0000567,2025-10-30,2682.25
CUST-0000567,2025-12-16,1352.68
CUST-0000567,2026-01-29,972.94
CUST-0000580,2025-08-30,2140.72
CUST-0000580,2025-09-04,1207.09
CUST-0000580,2025-11-02,1060.92
CUST-0000580,2025-12-04,1527.82
CUST-0000580,2026-01-12,1489.23
CUST-0000580,2026-01-21,1878.42
CUST-0000580,2026-01-23,981.09
CUST-0000597,2025-07-21,1854.58
CUST-0000597,2025-09-25,1196.71
CUST-0000597,2025-12-07,1964.32
CUST-0000598,2025-07-06,1665.31
CUST-0000598,2025-08-20,2318.64
CUST-0000601,2025-06-07,856.57
CUST-0000601,2025-06-09,1364.28
CUST-0000601,2025-07-15,1096.41
CUST-0000601,2025-07-29,1423.58
CUST-0000601,2025-10-06,198.94
CUST-0000617,2025-08-13,1385.05
CUST-0000617,2025-08-15,1017.76
CUST-0000617,2025-10-02,1551.86
CUST-0000617,2025-12-15,2093.78
CUST-0000627,2025-08-25,1541.35
CUST-0000627,2025-10-24,2170.94
CUST-0000648,2025-03-19,1435.92
CUST-0000648,2025-04-02,1147.8
CUST-0000652,2025-12-30,1474.91
CUST-0000652,2026-02-10,2278.64
CUST-0000667,2025-11-07,1242.65
CUST-0000667,2026-01-10,1945.9
CUST-0000670,2025-03-24,1070.4
CUST-0000670,2025-04-28,150.0
CUST-0000676,2025-12-30,2134.27
CUST-0000678,2025-09-25,1495.62
CUST-0000678,2025-09-28,1306.3
CUST-0000678,2025-12-02,1089.84
CUST-0000678,2026-01-07,705.42
CUST-0000692,2025-10-09,1587.91
CUST-0000692,2025-11-07,1570.33
CUST-0000692,2025-12-27,941.33
CUST-0000701,2025-09-12,1412.5
CUST-0000701,2025-10-20,1323.35
CUST-0000719,2025-10-24,1390.67
CUST-0000719,2025-12-03,513.98
CUST-0000719,2025-12-14,1838.24
CUST-0000727,2025-01-21,1193.71
CUST-0000727,2025-01-28,721.65
CUST-0000727,2025-02-12,1523.94
CUST-0000727,2025-03-10,1418.39
CUST-0000727,2025-05-04,1712.88
CUST-0000727,2025-06-05,1775.77
CUST-0000732,2025-05-21,1530.12
CUST-0000738,2025-07-29,1431.21
CUST-0000738,2025-10-11,1425.3
CUST-0000749,2026-01-10,855.15
CUST-0000749,2026-02-28,802.3
CUST-0000762,2025-09-29,1880.81
CUST-0000762,2025-11-08,952.9
CUST-0000762,2025-12-28,1854.07
CUST-0000773,2025-04-25,2026.8
CUST-0000773,2025-05-12,1714.06
CUST-0000773,2025-07-13,1012.09
CUST-0000773,2025-09-16,1712.93
CUST-0000773,2025-10-29,2317.07
CUST-0000773,2025-12-14,2391.45
CUST-0000778,2026-01-13,537.29
CUST-0000778,2026-02-20,1056.03
CUST-0000782,2025-09-30,1142.11
CUST-0000782,2025-10-08,876.69
CUST-0000789,2025-06-27,1894.18
CUST-0000789,2025-07-11,2147.82
CUST-0000815,2025-08-16,2387.34
CUST-0000815,2025-09-19,2155.68
CUST-0000815,2025-11-29,1671.55
CUST-0000875,2026-01-26,2185.93
CUST-0000875,2026-01-31,150.0
CUST-0000875,2026-02-26,2293.63
CUST-0000915,2025-08-16,524.14
CUST-0000915,2025-08-23,1625.14
CUST-0000915,2025-10-03,1068.34
CUST-0000915,2025-11-03,1690.5
CUST-0000935,2025-06-06,1437.52
CUST-0000935,2025-07-22,942.96
CUST-0000935,2025-09-02,980.49
CUST-0000935,2025-09-20,763.03
CUST-0000950,2025-07-16,1478.01
CUST-0000950,2025-08-23,1406.13
CUST-0000991,2025-03-11,1321.66
CUST-0000991,2025-05-14,734.46
CUST-0001003,2025-08-28,1512.89
CUST-0001003,2025-09-05,1348.43
CUST-0001003,2025-10-19,2312.7
CUST-0001003,2025-11-27,603.67
CUST-0001046,2025-10-11,1255.71
CUST-0001046,2025-10-15,1217.56
CUST-0001046,2025-11-17,2375.8
CUST-0001046,2026-01-24,726.14
CUST-0001052,2025-05-03,641.08
CUST-0001120,2025-02-15,991.25
CUST-0001120,2025-02-27,824.51
CUST-0001122,2025-11-07,1679.96
CUST-0001122,2026-01-06,1767.38
CUST-0001151,2025-05-03,1723.41
CUST-0001151,2025-07-03,1143.38
CUST-0001151,2025-07-20,1728.87
CUST-0001151,2025-08-15,2426.21
CUST-0001177,2025-03-25,2110.32
CUST-0001177,2025-05-19,2053.57
CUST-0001177,2025-07-14,2489.89
CUST-0001180,2025-05-08,1189.59
CUST-0001180,2025-06-27,689.37
CUST-0001180,2025-07-12,1022.98
CUST-0001197,2025-05-20,997.38
CUST-0001197,2025-06-21,805.22
CUST-0001213,2025-04-28,1655.74
CUST-0001213,2025-06-13,1486.82
CUST-0001213,2025-07-04,1777.6
CUST-0001228,2025-12-16,439.46
CUST-0001228,2026-02-23,2396.71
CUST-0001238,2025-08-28,1252.56
CUST-0001238,2025-09-16,1372.66
CUST-0001238,2025-10-01,1670.91
CUST-0001266,2025-05-18,1362.31
CUST-0001266,2025-06-16,1602.41
CUST-0001266,2025-06-19,1407.63
CUST-0001288,2025-04-28,956.64
CUST-0001288,2025-05-10,150.0
CUST-0001288,2025-06-12,1489.93
CUST-0001321,2025-04-29,1662.4
CUST-0001321,2025-07-07,150.0
CUST-0001337,2025-07-28,320.46
CUST-0001337,2025-09-06,1630.39
CUST-0001340,2025-08-18,1593.53
CUST-0001340,2025-08-25,1649.01
