customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
CUST-0000005,-23,4,5922.83,4,3,4,11,High-Value
CUST-0000042,111,3,3171.55,2,2,2,6,Low-Value
CUST-0000062,-30,1,150.0,4,1,1,6,Low-Value
CUST-0000081,86,6,7813.33,2,4,4,10,High-Value
CUST-0000090,78,2,1956.83,3,1,1,5,Low-Value
CUST-0000104,242,3,5870.68,1,2,4,7,Mid-Value
CUST-0000125,171,2,3664.5299999999997,1,1,2,4,Low-Value
CUST-0000126,21,5,8472.47,3,4,4,11,High-Value
CUST-0000141,99,1,1346.26,2,1,1,4,Low-Value
CUST-0000179,-6,5,8796.630000000001,4,4,4,12,High-Value
CUST-0000194,65,5,6319.12,3,4,4,11,High-Value
CUST-0000243,103,3,2794.33,2,2,2,6,Low-Value
CUST-0000249,116,4,4920.26,2,3,3,8,Mid-Value
CUST-0000251,4,2,4203.15,3,1,3,7,Mid-Value
CUST-0000252,70,3,5596.03,3,2,3,8,Mid-Value
CUST-0000286,47,2,3488.76,3,1,2,6,Low-Value
CUST-0000290,-24,3,1928.3799999999999,4,2,1,7,Mid-Value
CUST-0000364,230,3,5955.45,1,2,4,7,Mid-Value
CUST-0000375,190,2,1700.9099999999999,1,1,1,3,Low-Value
CUST-0000402,1,1,1761.0,3,1,1,5,Low-Value
CUST-0000415,76,3,4486.92,3,2,3,8,Mid-Value
CUST-0000436,-7,4,3429.64,4,3,2,9,Mid-Value
CUST-0000462,64,2,3176.4700000000003,3,1,2,6,Low-Value
CUST-0000464,157,4,5889.09,2,3,4,9,Mid-Value
CUST-0000470,59,4,5857.3099999999995,3,3,4,10,High-Value
CUST-0000483,130,4,4002.12,2,3,3,8,Mid-Value
CUST-0000497,4,5,7101.8,3,4,4,11,High-Value
CUST-0000503,151,4,5211.05,2,3,3,8,Mid-Value
CUST-0000534,301,1,2273.13,1,1,1,3,Low-Value
CUST-0000558,-13,3,2477.76,4,2,1,7,Mid-Value
CUST-0000567,-14,4,6103.99,4,3,4,11,High-Value
CUST-0000580,-8,7,10285.289999999999,4,4,4,12,High-Value
CUST-0000597,39,3,5015.61,3,2,3,8,Mid-Value
CUST-0000598,148,2,3983.95,2,1,2,5,Low-Value
CUST-0000601,101,5,4939.78,2,4,3,9,Mid-Value
CUST-0000617,31,4,6048.45,3,3,4,10,High-Value
CUST-0000627,83,2,3712.29,2,1,2,5,Low-Value
CUST-0000648,288,2,2583.7200000000003,1,1,2,4,Low-Value
CUST-0000652,-26,2,3753.55,4,1,2,7,Mid-Value
CUST-0000667,5,2,3188.55,3,1,2,6,Low-Value
CUST-0000670,262,2,1220.4,1,1,1,3,Low-Value
CUST-0000676,16,1,2134.27,3,1,1,5,Low-Value
CUST-0000678,8,4,4597.179999999999,3,3,3,9,Mid-Value
CUST-0000692,19,3,4099.57,3,2,3,8,Mid-Value
CUST-0000701,87,2,2735.85,2,1,2,5,Low-Value
CUST-0000719,32,3,3742.8900000000003,3,2,2,7,Mid-Value
CUST-0000727,224,6,8346.34,1,4,4,9,Mid-Value
CUST-0000732,239,1,1530.12,1,1,1,3,Low-Value
CUST-0000738,96,2,2856.51,2,1,2,5,Low-Value
CUST-0000749,-44,2,1657.4499999999998,4,1,1,6,Low-Value
CUST-0000762,18,3,4687.78,3,2,3,8,Mid-Value
CUST-0000773,32,6,11174.4,3,4,4,11,High-Value
CUST-0000778,-36,2,1593.32,4,1,1,6,Low-Value
CUST-0000782,99,2,2018.8,2,1,1,4,Low-Value
CUST-0000789,188,2,4042.0,1,1,3,5,Low-Value
CUST-0000815,47,3,6214.57,3,2,4,9,Mid-Value
CUST-0000875,-42,3,4629.5599999999995,4,2,3,9,Mid-Value
CUST-0000915,73,4,4908.12,3,3,3,9,Mid-Value
CUST-0000935,117,4,4124.0,2,3,3,8,Mid-Value
CUST-0000950,145,2,2884.1400000000003,2,1,2,5,Low-Value
CUST-0000991,246,2,2056.12,1,1,1,3,Low-Value
CUST-0001003,49,4,5777.69,3,3,4,10,High-Value
CUST-0001046,-9,4,5575.21,4,3,3,10,High-Value
CUST-0001052,257,1,641.08,1,1,1,3,Low-Value
CUST-0001120,322,2,1815.76,1,1,1,3,Low-Value
CUST-0001122,9,2,3447.34,3,1,2,6,Low-Value
CUST-0001151,153,4,7021.87,2,3,4,9,Mid-Value
CUST-0001177,185,3,6653.780000000001,1,2,4,7,Mid-Value
CUST-0001180,187,3,2901.94,1,2,2,5,Low-Value
CUST-0001197,208,2,1802.6,1,1,1,3,Low-Value
CUST-0001213,195,3,4920.16,1,2,3,6,Low-Value
CUST-0001228,-39,2,2836.17,4,1,2,7,Mid-Value
CUST-0001238,106,3,4296.13,2,2,3,7,Mid-Value
CUST-0001266,210,3,4372.35,1,2,3,6,Low-Value
CUST-0001288,217,3,2596.57,1,2,2,5,Low-Value
CUST-0001321,192,2,1812.4,1,1,1,3,Low-Value
CUST-0001337,131,2,1950.8500000000001,2,1,1,4,Low-Value
CUST-0001340,143,2,3242.54,2,1,2,5,Low-Value
CUST-0001350,171,2,2138.72,1,1,1,3,Low-Value
CUST-0001377,-41,4,5070.93,4,3,3,10,High-Value
CUST-0001378,-17,4,7378.92,4,3,4,11,High-Value
